Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
23/091,2023-08-15,4,12,17,37,38,39,41,"12,17",,3,3,1,2,0,3,0,2,13292970,2.5,1130950,95.5,78940,193,9600,4819.6,640,5236.6,320,86193.3,40,56989344
23/090,2023-08-12,3,12,13,17,24,36,16,"3,13",12,3,3,1,3,1,1,0,0,0,2,952280,72,70530,217.4,9600,4736.6,640,5650.9,320,83987.6,40,44887425
23/089,2023-08-10,2,3,4,13,18,42,12,"4,18",,2,4,3,2,0,0,1,0,0,1,1463350,118,33070,295.5,9600,4567.1,640,8026.8,320,78380.1,40,41081607
23/088,2023-08-08,4,7,18,28,30,40,29,,,1,5,2,1,2,1,0,0,0,2,677810,74,48850,264.5,9600,4635.7,640,6129.9,320,77018,40,37925396
23/087,2023-08-05,2,8,24,39,41,44,40,44,,2,4,2,0,1,1,2,1,29063330,1.5,1815990,65,111750,164.5,9600,3708.4,640,5234.8,320,73459,40,52818584
23/086,2023-08-03,3,14,23,30,33,44,21,,3,3,3,1,1,2,1,1,0,0,2,1030020,87,63140,208.5,9600,5369.7,640,5872.6,320,86590.7,40,47912933
23/085,2023-08-01,2,7,25,28,31,35,11,,,4,2,2,0,2,2,0,0,0,3.5,503010,63,74520,321,9600,4013.7,640,8556.2,320,76441.1,40,45080955
23/084,2023-07-29,13,23,26,40,41,43,14,"13,43",,4,2,0,1,2,1,2,0,0,2,904930,42.5,113560,103.5,9600,2461.9,640,3402,320,47414.7,40,34839965
23/083,2023-07-27,13,15,17,18,20,43,39,13,,4,2,0,5,0,0,1,0.5,8000000,1,1786270,48.5,98210,93.5,9600,2774.2,640,2881.6,320,49272.6,40,34541356
23/082,2023-07-25,1,2,10,13,29,47,9,,,4,2,3,1,1,0,1,2.5,21616130,7.5,712900,310.5,45910,850,9600,13274.2,640,22942.7,320,225600.1,40,133688280
23/081,2023-07-20,4,16,18,34,35,46,47,"16,34",,1,5,1,2,0,2,1,0,0,1.5,1237900,50,99030,113.5,9600,2773.7,640,3662,320,55845.8,40,36803315
23/080,2023-07-18,15,16,34,36,39,40,42,,,2,4,0,2,0,4,0,1,26751000,1,2849480,73,104090,145.5,9600,3695.6,640,4604.5,320,71590.9,40,53656300
23/079,2023-07-15,4,9,12,33,37,42,3,,,3,3,2,1,0,2,1,0,0,1.5,1369220,93,58890,190,9600,4437,640,6483.9,320,79572.7,40,46236779
23/078,2023-07-13,3,8,11,23,36,38,33,,,3,3,2,1,1,2,0,0.5,24082090,16,92110,248.5,19200,828.7,9600,8207.1,640,12178.8,320,111842.5,40,54267777
23/077,2023-07-11,7,19,22,27,40,47,13,22,,4,2,1,1,2,1,1,0,0,1.5,1562630,63.5,98430,171,9600,4575,640,6237.6,320,87894.2,40,50468950
23/076,2023-07-08,1,11,22,26,38,39,27,,,3,3,1,1,2,2,0,0.5,25256940,2.5,1032460,151,45580,328,9600,7353.6,640,8678.7,320,123287.6,40,63839510
23/075,2023-07-04,5,15,20,29,32,37,18,29,,4,2,1,2,1,2,0,0,0,0,0,53.5,107460,134.7,9600,2984.7,640,4286.2,320,58822.6,40,42080362
23/074,2023-07-02,3,6,25,29,35,42,36,6,,4,2,2,0,2,1,1,0,0,0.5,1778210,44,107770,124.5,9600,2510.1,640,3770,320,50489.9,40,35286851
23/073,2023-06-29,6,10,18,21,22,33,4,"10,18",,2,4,2,1,2,1,0,2.5,19056090,6,527550,189,44660,409.5,9600,9752.3,640,12217.8,320,165253.5,40,81262464
23/072,2023-06-27,7,10,16,18,29,45,1,16,,3,3,2,2,1,0,1,0,0,4.5,738680,125.5,70630,341.9,9600,6598.7,640,10800,320,126995.3,40,74802703
23/071,2023-06-24,1,11,14,16,26,36,39,14,,2,4,1,3,1,1,0,0.5,56344000,3,1385920,240.7,46060,389.5,9600,11346,640,11106.5,320,182126.4,40,96851292
23/070,2023-06-22,14,15,24,30,37,39,26,,,3,3,0,2,2,2,0,0,0,3,1541180,106,116310,317,9600,6383.3,640,9836.2,320,126106.2,40,91097328
23/069,2023-06-20,8,18,31,34,35,47,39,"18,31,35",,3,3,1,1,0,3,1,0,0,1,2272400,53,114330,123,9600,3417.5,640,3854.5,320,66680.1,40,44289453
23/068,2023-06-17,18,22,31,35,44,48,6,,,2,4,0,1,1,2,2,0,0,1,1682740,58,77360,144,9600,2245.2,640,3755.7,320,45383.2,40,33637623
23/067,2023-06-15,5,13,17,20,33,38,14,,,4,2,1,3,0,2,0,0.5,8000000,3,475590,85,44760,180,9600,3836,640,3765.8,320,63511.1,40,34039129
23/066,2023-06-13,14,16,22,26,36,42,19,"14,16,22",,0,6,0,2,2,1,1,1,40948040,2.5,1337400,123,72480,251.5,9600,5831.1,640,6772.9,320,103478.6,40,68420902
23/065,2023-06-11,14,16,18,22,30,47,11,22,,1,5,0,3,2,0,1,0,0,2.5,1135480,86.5,87510,219.5,9600,4709.6,640,7307.6,320,88682.5,40,58895513
23/064,2023-06-08,4,22,24,28,45,46,7,45,,1,5,1,0,3,0,2,0,0,0.5,2294160,67,91310,214.5,9600,3719.2,640,6001.2,320,69201.9,40,48027796
23/063,2023-06-06,6,12,34,42,45,48,2,48,6,1,5,1,1,0,1,3,0,0,2.5,849570,57,99360,145,9600,3042.5,640,4513.2,320,58038.8,40,41972096
23/062,2023-06-03,2,16,24,25,47,48,40,47,,2,4,1,1,2,0,2,0,0,1,1644850,54.5,80480,113.5,9600,2523,640,3139.7,320,46381.5,40,32619469
23/061,2023-06-01,14,30,32,42,45,47,4,"30,32",,2,4,0,1,1,1,3,1,8000000,2,946810,29,174120,91,9600,1913.7,640,3334.2,320,39917,40,34508646
23/060,2023-05-30,3,9,15,30,32,41,26,32,30,4,2,2,1,1,1,1,1,8000000,2,850970,45.5,99740,142.7,9600,2814.7,640,4182,320,55728.4,40,35568870
23/059,2023-05-27,11,20,21,22,27,32,12,,27,3,3,0,2,3,1,0,1,49073940,4.5,600940,182,39620,657.2,9600,8354.4,640,15108.1,320,142779.9,40,77802262
23/058,2023-05-25,3,14,18,26,40,43,15,14,,2,4,1,2,1,1,1,0,0,0,0,54.5,155090,176.5,9600,4073.5,640,5267.9,320,81233.2,40,60107941
23/057,2023-05-23,4,14,15,37,41,49,38,,,4,2,1,2,0,1,2,0,0,1.5,1851290,75.5,98080,157.5,9600,3902,640,4939.9,320,71940.5,40,53354696
23/056,2023-05-20,1,19,22,26,46,47,39,47,,3,3,1,1,2,0,2,0,0,4,553970,54,109420,99.5,9600,2862,640,3601.5,320,58700.4,40,41705550
23/055,2023-05-18,5,6,12,16,41,47,7,,,3,3,2,2,0,0,2,0,0,2,883920,33,142850,179.5,9600,3313.7,640,6304.9,320,64500.9,40,39616432
23/054,2023-05-16,2,18,27,31,32,46,44,,,2,4,1,1,1,2,1,0,0,1,1770210,41,115130,142.5,9600,2736.2,640,3201,320,54037,40,35691798
23/053,2023-05-14,1,4,9,35,37,48,43,,,4,2,3,0,0,2,1,1,22308760,0,0,64,103200,146,9600,3976,640,3965.5,320,80893.7,40,49254796
23/052,2023-05-11,17,18,28,30,32,33,1,32,,2,4,0,2,2,2,0,0,0,0.5,1721620,126.5,36290,228.5,9600,4787.5,640,5592.2,320,76116,40,42045167
23/051,2023-05-09,7,10,22,25,32,35,27,25,,3,3,2,0,2,2,0,0,0,0.5,1704050,74.2,61240,160.2,9600,3365.4,640,4524,320,62588.1,40,37272020
23/050,2023-05-06,1,5,14,15,21,25,31,,,5,1,2,2,2,0,0,1,12530890,1.5,1006860,104,38720,199,9600,4941.9,640,5353.4,320,74928.5,40,38607230
23/049,2023-05-04,2,10,28,37,47,49,7,"10,49",,3,3,2,0,1,1,2,0,0,2,864820,45.5,101370,143.5,9600,2397.5,640,5301.9,320,47635.7,40,35528511
23/048,2023-05-02,4,10,20,32,38,49,7,,,1,5,2,1,0,2,1,1,8000000,2,882100,57.5,81810,133,9600,2837.7,640,4828.7,320,59315.8,40,36917434
23/047,2023-04-29,7,8,17,19,27,40,2,8,,4,2,2,2,1,1,0,1,8000000,4.5,220070,79.5,33210,318.7,9600,4483.2,640,7122.2,320,69747.6,40,33588472
23/046,2023-04-27,8,12,21,43,44,49,27,43,,3,3,1,1,1,0,3,1,15042030,2,1008080,41.5,129550,149,9600,3314.5,640,4700,320,64691.4,40,41507112
23/045,2023-04-25,20,26,38,43,46,47,35,,,2,4,0,1,1,1,3,0,0,0.5,1987020,49.5,107040,103.5,9600,2214.5,640,2940.7,320,46090.5,40,36578731
23/044,2023-04-22,2,6,7,9,17,19,26,,,4,2,4,2,0,0,0,2,7602480,9.5,39370,388.7,19200,537.5,9600,10388.3,640,8814.6,320,118678.5,40,45581152
23/043,2023-04-20,1,20,24,28,38,46,40,"20,28,46",20,1,5,1,1,2,1,1,0,0,2.5,811020,47,115030,154.5,9600,2832.3,640,4430.2,320,60891,40,40746484
23/042,2023-04-18,20,23,27,28,30,46,29,"20,23",,2,4,0,1,4,0,1,0,0,4.5,362550,52.5,82860,190.5,9600,2642,640,4506.8,320,51083.7,40,35106436
23/041,2023-04-16,10,12,18,20,23,36,6,36,,1,5,1,3,1,1,0,1,23293190,5,338530,193,23380,415.5,9600,8175.4,640,10156.3,320,118039.5,40,54802224
23/040,2023-04-13,9,14,15,32,36,48,25,,,2,4,1,2,0,2,1,0,0,0,0,68,82670,180.5,9600,3287.5,640,4910.5,320,60473.1,40,43095286
23/039,2023-04-11,12,23,29,40,42,43,20,,,3,3,0,1,2,1,2,0,0,0,0,28.5,166780,130.5,9600,2693.5,640,3967.2,320,54030.2,40,36048672
23/038,2023-04-08,1,13,17,18,33,36,22,36,,4,2,1,3,0,2,0,3.5,12168880,3,1399000,202.5,55260,555.4,9600,10348.2,640,14447.1,320,186137,40,101427219
23/037,2023-04-04,15,19,20,24,36,47,4,19,,3,3,0,3,1,1,1,0,0,2,1472330,71,110590,194.5,9600,3912.9,640,6484.2,320,74610.5,40,57413909
23/036,2023-04-01,8,9,12,19,21,40,24,"8,12",,3,3,2,2,1,1,0,0,0,2,855870,94.5,48300,278.7,9600,6173.7,640,7753.2,320,102326.5,40,47668512
23/035,2023-03-30,1,8,12,36,42,47,40,,,2,4,2,1,0,1,2,0,0,3.5,572830,86,62160,172,9600,3991.4,640,5085.5,320,79616.5,40,43899412
